loan_id,gender,married,dependents,self_employed,income,loan_amount,term,credit_history,property_area,status,income_num,loan_amount_num,status_int
ID1001,female,yes,0,no,"$5,168.70","$19,693.81",48,1,rural,Y,5168.7,19693.81,1
ID1002,male,no,1,no,"$6,935.10","$44,098.09",36,0,urban,N,6935.1,44098.09,0
ID1003,male,yes,3,no,"$15,565.34","$63,405.56",60,1,rural,Y,15565.34,63405.56,1
ID1004,female,no,1,no,"$4,609.23","$7,050.49",48,1,urban,Y,4609.23,7050.49,1
ID1005,female,yes,1,no,"$7,367.85","$37,371.77",36,0,urban,N,7367.85,37371.77,0
ID1006,male,no,1,no,"$7,250.85","$19,861.20",24,0,urban,N,7250.85,19861.2,0
ID1007,male,no,3,no,"$9,935.66","$23,358.54",48,1,urban,Y,9935.66,23358.54,1
ID1008,male,yes,3,no,"$5,544.67","$8,751.83",24,0,urban,N,5544.67,8751.83,0
ID1009,female,yes,0,no,"$7,446.21","$34,066.59",48,1,rural,Y,7446.21,34066.59,1
ID1010,male,yes,4,no,"$8,268.60","$36,337.10",120,1,urban,Y,8268.6,36337.1,1
ID1011,female,yes,2,no,"$4,697.43","$29,597.52",240,1,urban,Y,4697.43,29597.52,1
ID1012,male,yes,2,no,"$5,795.39","$19,394.25",240,1,urban,Y,5795.39,19394.25,1
ID1013,female,no,0,no,"$4,981.32","$11,094.85",36,1,rural,Y,4981.32,11094.85,1
ID1014,female,yes,0,yes,"$3,560.77","$7,720.81",120,1,urban,Y,3560.77,7720.81,1
ID1015,female,yes,1,no,"$3,183.04","$11,439.91",60,1,rural,Y,3183.04,11439.91,1
ID1016,female,no,0,no,"$4,328.14","$14,453.45",60,0,urban,N,4328.14,14453.45,0
ID1017,male,no,1,no,"$7,596.11","$16,449.65",60,1,urban,Y,7596.11,16449.65,1
ID1018,male,yes,4,no,"$1,800.00","$7,370.16",360,1,rural,Y,1800.0,7370.16,1
ID1019,male,yes,4,no,"$2,417.20","$13,945.67",60,1,urban,Y,2417.2,13945.67,1
ID1020,female,yes,0,no,"$3,392.52","$11,278.18",120,1,urban,Y,3392.52,11278.18,1
ID1021,female,no,0,no,"$6,646.52","$34,565.35",48,1,urban,Y,6646.52,34565.35,1
ID1022,male,no,4,yes,"$8,750.83","$49,550.01",36,1,urban,Y,8750.83,49550.01,1
ID1023,female,no,2,yes,"$2,789.17","$12,192.12",48,1,rural,Y,2789.17,12192.12,1
ID1024,male,no,0,no,"$3,185.87","$3,122.15",48,0,rural,N,3185.87,3122.15,0
ID1025,female,yes,2,no,"$10,924.13","$46,376.80",180,1,urban,Y,10924.13,46376.8,1
ID1026,male,yes,3,no,"$4,081.69","$21,877.29",36,0,rural,N,4081.69,21877.29,0
ID1027,male,no,0,no,"$7,628.87","$11,974.72",180,0,rural,N,7628.87,11974.72,0
ID1028,female,yes,2,no,"$3,865.46","$24,790.18",240,0,urban,N,3865.46,24790.18,0
ID1029,female,yes,4,no,"$8,942.96","$30,503.91",36,1,rural,Y,8942.96,30503.91,1
ID1030,male,yes,1,no,"$11,207.32","$57,657.17",120,1,urban,Y,11207.32,57657.17,1
ID1031,male,yes,2,no,"$7,009.13","$22,873.14",48,0,urban,N,7009.13,22873.14,0
ID1032,male,yes,1,no,"$6,248.34","$6,012.71",60,0,urban,N,6248.34,6012.71,0
ID1033,male,yes,2,no,"$4,460.56","$8,551.17",180,1,urban,Y,4460.56,8551.17,1
ID1034,male,no,0,no,"$4,217.82","$9,873.55",12,1,rural,Y,4217.82,9873.55,1
ID1035,female,yes,1,no,"$5,468.51","$5,420.79",120,1,urban,Y,5468.51,5420.79,1
ID1036,female,yes,1,no,"$3,463.48","$12,241.49",240,1,rural,Y,3463.48,12241.49,1
ID1037,female,no,1,no,"$7,741.29","$31,352.20",180,1,rural,Y,7741.29,31352.2,1
ID1038,female,yes,0,no,"$5,747.71","$8,029.59",48,0,urban,N,5747.71,8029.59,0
ID1039,male,yes,1,yes,"$6,521.07","$26,216.84",60,1,urban,Y,6521.07,26216.84,1
ID1040,male,yes,3,no,"$7,657.26","$22,542.36",12,0,urban,N,7657.26,22542.36,0
ID1041,female,no,1,no,"$4,171.86","$4,687.92",60,1,urban,Y,4171.86,4687.92,1
ID1042,female,yes,0,no,"$3,010.56","$3,350.32",60,1,urban,Y,3010.56,3350.32,1
ID1043,male,yes,0,no,"$7,610.72","$43,016.21",180,1,urban,Y,7610.72,43016.21,1
ID1044,male,yes,1,no,"$10,259.29","$64,795.70",180,1,urban,Y,10259.29,64795.7,1
ID1045,male,yes,0,no,"$10,647.62","$46,688.51",36,1,urban,Y,10647.62,46688.51,1
ID1046,male,no,4,yes,"$4,157.02","$20,182.61",24,1,urban,Y,4157.02,20182.61,1
ID1047,male,no,3,no,"$7,682.83","$23,432.80",60,0,urban,N,7682.83,23432.8,0
ID1048,male,no,3,yes,"$13,088.44","$66,732.79",60,1,rural,Y,13088.44,66732.79,1
ID1049,male,no,1,no,"$1,800.00","$2,607.80",180,1,urban,Y,1800.0,2607.8,1
ID1050,male,yes,1,no,"$4,026.94","$11,595.61",180,0,urban,N,4026.94,11595.61,0
ID1051,female,yes,0,no,"$5,303.07","$24,409.47",120,1,urban,Y,5303.07,24409.47,1
ID1052,female,yes,0,no,"$5,263.21","$27,195.41",60,1,urban,Y,5263.21,27195.41,1
ID1053,female,yes,0,yes,"$6,179.09","$13,472.94",36,1,urban,Y,6179.09,13472.94,1
ID1054,female,no,1,no,"$4,256.14","$16,907.60",12,1,urban,Y,4256.14,16907.6,1
ID1055,female,yes,2,yes,"$10,807.97","$37,225.30",60,1,rural,Y,10807.97,37225.3,1
ID1056,male,no,1,no,"$6,112.52","$25,271.70",36,1,urban,Y,6112.52,25271.7,1
ID1057,female,yes,2,no,"$5,677.22","$32,992.23",60,1,rural,Y,5677.22,32992.23,1
ID1058,male,no,1,no,"$2,851.34","$5,532.48",36,1,rural,Y,2851.34,5532.48,1
ID1059,male,yes,1,no,"$7,328.48","$45,223.00",120,1,urban,Y,7328.48,45223.0,1
ID1060,female,no,3,no,"$3,043.87","$7,876.81",60,1,urban,Y,3043.87,7876.81,1
ID1061,female,no,4,no,"$2,942.70","$6,980.30",48,1,urban,Y,2942.7,6980.3,1
ID1062,female,no,1,no,"$7,991.49","$48,961.07",120,1,rural,Y,7991.49,48961.07,1
ID1063,female,no,1,yes,"$13,845.34","$67,458.94",48,1,urban,Y,13845.34,67458.94,1
ID1064,female,no,1,no,"$10,114.28","$66,076.52",60,1,urban,Y,10114.28,66076.52,1
ID1065,female,yes,0,no,"$7,076.33","$43,817.18",60,1,rural,Y,7076.33,43817.18,1
ID1066,female,yes,4,no,"$6,003.86","$39,363.28",36,1,urban,Y,6003.86,39363.28,1
ID1067,male,yes,3,no,"$1,908.73","$4,456.21",360,1,rural,Y,1908.73,4456.21,1
ID1068,male,no,1,no,"$8,064.03","$30,833.95",360,1,rural,Y,8064.03,30833.95,1
ID1069,male,yes,1,no,"$5,755.92","$23,167.24",60,1,urban,Y,5755.92,23167.24,1
ID1070,male,yes,2,no,"$12,741.16","$59,924.27",60,0,urban,N,12741.16,59924.27,0
ID1071,female,yes,0,no,"$9,215.35","$32,595.36",60,0,urban,N,9215.35,32595.36,0
ID1072,male,no,0,no,"$8,411.45","$48,510.57",240,1,rural,Y,8411.45,48510.57,1
ID1073,male,yes,2,no,"$7,700.65","$34,917.34",36,1,rural,Y,7700.65,34917.34,1
ID1074,male,no,3,yes,"$4,911.92","$20,393.49",60,1,rural,Y,4911.92,20393.49,1
ID1075,male,yes,3,no,"$3,298.47","$7,916.46",48,0,urban,N,3298.47,7916.46,0
ID1076,female,no,2,no,"$6,632.53","$15,722.76",60,1,urban,Y,6632.53,15722.76,1
ID1077,male,yes,1,no,"$3,682.77","$19,002.85",120,1,urban,Y,3682.77,19002.85,1
